25 Degrees | C | C | W | U
Kim's Kitchenette | ACC | C | K | U
Fast Italian | ACC | C | I | U
Spanish Street Food | ACC | C | S | U
Aburi-En | ACC | C | J | U
Genki Sushi | ACC | C | J | U
Makisan | ACC | C | J | U
Ramen Ready | ACC | B | J | U
Italian Express | ACC | B | I | U
China Chow | ACC | B | C | U
Thai Treats | ACC | B | T | U
Fusion Fast | ACC | B | F | U
Accessible Diner | ACC | B | W | U
Lenu | ACC | B | C | U
A&W | ACC | B | W | C
Monster Curry | ACC | B | J | U
All-around Bistro | ACC | A | F | U
Sushi Stop | ACC | A | J | U
Quick Korean | ACC | A | K | U
Easy Italian | ACC | A | I | U
Thai Table | ACC | A | T | U
Sichuan Station | ACC | A | C | U
Pepperlunch | ACC | A | J | U
Crystal Jade | C | P | C | C
Shi Li Fang | ACC | A | C | U
Soup Spoon | ACC | A | W | U
Italian Impressions | ACC | P | I | U
Sushi Supreme | ACC | P | J | U
Spanish Splendor | ACC | P | S | U
Gourmet Galore | ACC | P | W | U
Thai Top Table | ACC | P | T | U
Korean Cuisine Classics | ACC | P | K | U
Green Dot | ACC | P | W | U
Hai Di Lao | ACC | P | C | U
Poulet | ACC | P | W | U
Gochi-so Shokudo | ACC | S | J | U
Ichiban Sushi | ACC | S | J | U
Watami Japanese Dining | ACC | S | J | U
The West Wing | W | P | W | U
YC Dining and Bar | W | P | W | U
Curry House | ACC | C | I | U
Ocean's Catch | NE | B | S | U
Pasta Pronto | W | A | I | U
Spicy Sichuan | E | B | C | U
Luxury Sushi | S | P | J | U
World Fusion | ACC | A | F | U
Burger Joint | ACC | B | W | U
Noodle House | NE | A | C | U
Pizza Place | S | B | I | U
Steak Heaven | W | P | W | U
Tapas Bar | ACC | A | S | U
BBQ Smokehouse | C | A | W | U
Dim Sum Corner | NE | B | C | U
Gelato Spot | ACC | B | I | U
Ramen Retreat | ACC | A | J | U
Tea House | E | C | C | U
Tortilla Tavern | W | C | S | U
Bamboo Basket | E | C | C | U
Roma Pizzeria | S | B | I | U
Tropical Fusion | NE | B | F | U
East Sushi Stop | NE | A | J | U
Mediterranean Mosaic | C | P | F | U
Nordic Bites | W | A | W | U
Southern Spice | S | B | I | U
Pan-Asian Diner | C | C | F | U
Mountain Kimchi | W | B | K | U
Baguette & Brie | S | P | W | U
Dragon Noodle House | NE | A | C | U
Urban Tandoori | C | A | I | U
Paella Pavilion | W | P | S | U
Curry in a Hurry | E | C | I | U
Tempura Towers | S | B | J | U
Pasta Port | NE | C | I | U
Goulash Garden | C | A | W | U
Bulgogi BBQ | ACC | B | K | U
Saffron Lounge | W | S | I | U
Tapas Tienda | NE | P | S | U
Zen Zen Sushi | ACC | S | J | U
Oodles of Noodles | E | A | C | U
Valentino | C | P | I | U
Kimchi Kingdom | NE | A | K | U
FOC Sentosa | E | B | S | U
Tim Ho Wan | ACC | C | C | U
Tex-Mex Grill | NE | B | W | U
Dumpling Darlings | W | C | C | U
Lemongrass Lane | C | A | T | U
Ichiban Boshi | E | P | J | U
Flamenco Flavors | NE | P | S | U
Din Tai Fung | W | P | C | U
Tori-Q | W | A | J | U
Grill and Greens | C | C | W | U
Empanada Esquina | E | A | S | U
Beauty in the Pot | ACC | S | C | U
Italian Extravaganza | ACC | S | I | U
Sushi Spectacle | ACC | S | J | U
Thai Royal Banquet | ACC | S | T | U
East Coast BBQ | NE | B | J | U
Genki Sushi | C | C | J | U
Genki Sushi | C | C | J | U
