Botanic Garden Tours | C | C | U
Fort Siloso Skywalk Visit | S | C | U
Southern Ridges Walk | S | C | U
Sentosa Merlion | S | C | U
Marina Barrage Picnic | S | C | U
Gardens by the Bay | S | C | U
Madame Tussauds Singapore Basic Tour | S | B | U
Sentosa Boardwalk Experience | S | B | U
Mega Adventure Park Basic Package | S | B | U
Sentosa 4D AdventureLand Standard Ticket | S | B | U
Trick Eye Museum Visit | S | B | U
Sentosa Merlion Basic Visit | S | B | U
Haw Par Villa | S | B | U
Mount Faber Cable Car Ride | S | B | U
Resorts World Sentosa Adventure Cove Waterpark | S | B | U
Sentosa Skyline Luge | S | B | U
Underwater World | S | B | U
Resorts World Sentosa Adventure Cove Waterpark | S | A | U
Sentosa Cable Car Standard Ride | S | A | U
Adventure Cove Waterpark Full Access | S | A | U
Wings of Time Show Standard Seating | S | A | U
Sentosa Island Tour | S | A | U
Siloso Beach Bars Evening Out | S | A | U
S.E.A. Aquarium Standard Entry | S | A | U
Siloso Beach Party | S | A | U
Sentosa Island Beach Clubs | S | A | U
Marina Bay Sands Fine Dining | S | A | U
Siloso Beach Party | S | A | U
Marina Bay Sands Skating Rink | S | P | U
Universal Studios Singapore Express Pass | S | P | U
Sentosa Luxury Yacht Charter | S | P | U
Capella Singapore Spa Day | S | P | U
Sentosa Golf Club Green Fees | S | P | U
Quayside Isle Fine Dining Experience | S | P | U
Dolphin Island Exclusive Encounter | S | P | U
S.E.A. Aquarium | S | P | U
Underwater World | S | P | U
Marina Bay Sands Casino | S | P | U
Singapore Flyer Dining | S | P | U
iFly Singapore Indoor Skydiving | S | S | U
Skyline Luge Sentosa | S | S | U
AJ Hackett Sentosa Bungee Jump | S | S | U
Marina Bay Sands Infinity Pool | S | S | U
Sentosa Private Beach Villa Stay | S | S | U
Universal Studios Singapore VIP Tour | S | S | U
S.E.A. Aquarium VIP Tour with Marine Biologist | S | S | U
Sentosa Sunset Dinner Cruise | S | S | U
Capella Singapore Exclusive Dining | S | S | U
Ola Beach Club Private Party | S | S | U
Skydiving | S | S | U
Punggol Waterfront Park Picnic | NE | C | U
Lorong Halus Wetland Bird Watching | NE | C | U
Coney Island Nature Walk | NE | C | U
Punggol Jetty Fishing | NE | C | U
Sengkang Riverside Park Visit | NE | C | U
Punggol Promenade Riverside Walk | NE | C | U
Punggol Waterway Park | NE | C | U
Punggol Settlement Seafood Dining | NE | C | U
Coney Island Park Exploration | NE | C | U
Lorong Halus Wetland Park Bird Watching | NE | C | U
Punggol Waterway Park | NE | C | U
Seletar Aerospace Park Viewing | NE | B | U
Punggol Container Park Shopping | NE | B | U
Waterway Point Shopping Spree | NE | B | U
Compass One Mall Experience | NE | B | U
Punggol Point Horse Riding | NE | B | U
Oasis Terraces Community Plaza | NE | B | U
Punggol Waterway Park Kayaking | NE | B | U
Windsurfing in Punggol | NE | B | U
Lorong Halus Wetland Park Bird Watching | NE | B | U
Punggol Jetty Sunset Viewing | NE | B | U
Lorong Halus Bridge Cycling | NE | B | U
Punggol Promenade Nature Walk | NE | A | U
Punggol Safra Adventure Sports | NE | A | U
North Eastern Riverine Loop Cycling | NE | A | U
The Animal Resort Visit | NE | A | U
Seletar Country Club Golfing | NE | A | U
Coney Island Guided Exploration | NE | A | U
Punggol Waterway Park Kayaking | NE | A | U
Punggol Container Park Shopping | NE | A | U
Cycling at Punggol Waterway | NE | A | U
Pulau Ubin Adventure | NE | A | U
Coney Island Park Glamping | NE | A | U
Jewel Changi Airport Canopy Park | NE | P | U
Orchid Country Club Golf and Dine | NE | P | U
Seletar Aerospace Park Private Tour | NE | P | U
The Seletar Mall Exclusive Shopping | NE | P | U
Punggol Marina Country Club Yacht Charter | NE | P | U
Coney Island Luxury Glamping | NE | P | U
Sengkang Sports Complex Private Pool Booking | NE | P | U
Hai Bin Prawning | NE | P | U
Changi Experience Studio | NE | P | U
Marina Bay Sands SkyPark | NE | P | C
Jewel Changi Airport Canopy Park | NE | P | U
Marina Bay Sands Skypark Observation Deck | NE | S | U
Yacht Party at Punggol Marina | NE | S | U
Seletar Airbase Helicopter Tour | NE | S | U
Exclusive Dining at The Summerhouse | NE | S | U
Private Guided Tour of Coney Island | NE | S | U
Punggol Point Sunset Yacht Dinner | NE | S | U
Seletar Country Club VIP Golf Experience | NE | S | U
Marina Bay Sands Shopping | NE | S | U
Marina Bay Sands Helicopter Tour | NE | S | U
Pulau Ubin Adventure | NE | S | U
Punggol Waterway Park | NE | S | U
Cultural Shows | ACC | C | U
Interactive Workshops | ACC | C | U
Local Community Centre Workshops | ACC | C | U
Public Library Storytelling Sessions | ACC | C | U
Heartland Mall Bargain Hunting | ACC | C | U
Public Park Yoga Sessions | ACC | C | U
HDB Estate Heritage Walks | ACC | C | U
Community Farm Visits | ACC | C | U
Park Visits | ACC | C | U
Street Food Sampling | ACC | C | U
Cultural Shows | ACC | B | U
Interactive Workshops | ACC | B | U
Neighbourhood Food Trail | ACC | B | U
Urban Farming Workshops | ACC | B | U
Local Art Galleries Visit | ACC | B | U
Community Sports Hub Activities | ACC | B | U
Heartland Shopping Complexes | ACC | B | U
Street Performance Watching | ACC | B | U
Park Visits | ACC | B | U
Street Food Sampling | ACC | B | U
Beach Outings | ACC | A | U
Historical Landmark Visits | ACC | A | U
Guided City Tours | ACC | A | U
Public Swimming Complex Access | ACC | A | U
Artisan Market Shopping | ACC | A | U
Local Theatre Performances | ACC | A | U
Urban Sketching Sessions | ACC | A | U
Community Garden Tours | ACC | A | U
Local Cooking Class Experience | ACC | A | U
Museum Trips | ACC | A | U
Private Guided Tours | ACC | P | U
Private Art Workshop | ACC | P | U
Exclusive Culinary Tours | ACC | P | U
Personal Fitness Training Session | ACC | P | U
Private Music Concerts | ACC | P | U
Luxury Spa Treatment in Heartland | ACC | P | U
High-End Shopping Experience in Local Boutiques | ACC | P | U
Local Theatre Performances | ACC | P | U
River Cruise | ACC | P | U
Spa Treatment | ACC | P | U
Helicopter Tour | ACC | S | U
Adventure Sports | ACC | S | U
Yacht Charter | ACC | S | U
VIP Event | ACC | S | U
Helicopter City Tour | ACC | S | U
Exclusive Private Chef Dining Experience | ACC | S | U
Luxury Yacht Charter from Local Marina | ACC | S | U
VIP Access to Local Festivals | ACC | S | U
Bespoke Tailoring Experience | ACC | S | U
Private Gallery Viewing and Art Auction | ACC | S | U
paragliding | C | S | U
